ac_no,ac_name,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
179,Kudavasal,Periasamy Udayar K.,DMK,65554,"31,302",47.75,"34,252",52.25
180,Nannilam,Devandiran A,DMK,61831,"36,740",59.42,"25,091",40.58
181,Thiruvarur,M. Karunanithi Thazhai,DMK,64956,"30,828",47.46,"34,128",52.54
182,Nagapattinam,Rajamanickam,DMK,66393,"29,744",44.8,"36,649",55.2
183,Vedaranyam,M. Meenakshi Sundaram,DMK,65435,"41,787",63.86,"23,648",36.14
184,Thiruthuraipoondi,Manali Kandasami C.,CPI,64790,"40,714",62.84,"24,076",37.16
185,Kottur,Subbiah A. K.,CPI,64727,"47,419",73.26,"17,308",26.74
186,Mannargudi,Balakrishnan K.,DMK,67648,"35,211",52.05,"32,437",47.95
187,Orathanadu,L. Ganesan,DMK,79479,"49,269",61.99,"30,210",38.01
188,Gandharvakottai,Govindarasu Kalingarar,DMK,72973,"42,025",57.59,"30,948",42.41
189,Pattukkottai,A. R. Marimuthu,PSP,70794,"44,565",62.95,"26,229",37.05
190,Peravurani,Chelliah,Independent,87836,"32,025",36.46,"55,811",63.54
191,Aranthangi,S. Ramanathan,DMK,88375,"49,322",55.81,"39,053",44.19
192,Tiruppattur (Sivaganga),S. Madhavan,DMK,77167,"54,117",70.13,"23,050",29.87
193,Karaikudi,C. T. Chidambaram,DMK,66844,"39,986",59.82,"26,858",40.18
194,Tiruvadanai,Pr. Shanmugham,DMK,74405,"40,417",54.32,"33,988",45.68
195,Ilayangudi,Malaikannan V.,DMK,73481,"45,551",61.99,"27,930",38.01
196,Ramanathapuram,M. S. K. Sathyendran,DMK,62552,"40,690",65.05,"21,862",34.95
197,Kadaladi,C. Ramalingam,DMK,48599,"31,521",64.86,"17,078",35.14
198,Mudukulathur,Kadher Batcha Alias Vellaichind,Independent,55590,"18,267",32.86,"37,323",67.14
199,Paramakudi,T. K. Siraimeettan,DMK,72264,"42,614",58.97,"29,650",41.03
200,Sivaganga,S. Sethuraman,DMK,70311,"42,320",60.19,"27,991",39.81
201,Manamadurai,T. Soniah,DMK,74985,"42,584",56.79,"32,401",43.21
202,Kariapatti,Perumal A. R.,AIFB,61366,"31,499",51.33,"29,867",48.67
203,Aruppukottai,Sowdi Sundara Bharathi,AIFB,65327,"37,021",56.67,"28,306",43.33
204,Virudhunagar,P. Seenivasan,DMK,63061,"31,455",49.88,"31,606",50.12
205,Sattur,S. Alagu Thevar,AIFB,58831,"32,610",55.43,"26,221",44.57
206,Sivakasi,K. Kalimuthu,DMK,67072,"39,854",59.42,"27,218",40.58
207,Srivilliputhur,K. Gurusamy Alias Andi,DMK,65554,"41,522",63.34,"24,032",36.66
208,Rajapalayam,K. Suppu,CPI,72997,"36,827",50.45,"36,170",49.55
209,Vilathikulam,M. Rathnasabapathy,DMK,56834,"32,583",57.33,"24,251",42.67
210,Kovilpatti,S. Alagarsamy,CPI,62490,"38,844",62.16,"23,646",37.84
211,Ottapidaram,M. Muthiah,AIFB,48438,"27,571",56.92,"20,867",43.08
212,Sankarankoil,S. Subbiah,DMK,57692,"35,677",61.84,"22,015",38.16
213,Vasudevanallur,A. Velladurai,DMK,63121,"35,954",56.96,"27,167",43.04
214,Kadayanallur,A. R. Subbiah Mudaliar,DMK,71726,"37,649",52.49,"34,077",47.51
215,Tenkasi,Samsudeen Alias Kathiravan,DMK,70266,"39,110",55.66,"31,156",44.34
216,Alangulam,Aladi Aruna,DMK,71215,"36,526",51.29,"34,689",48.71
217,Ambasamudram,S. Sanmugamuthu Thevar,INC,67051,"31,192",46.52,"35,859",53.48
218,Cheranmahadevi,D. S. A. Sivaprakasam,SWA,69284,"34,739",50.14,"34,545",49.86
219,Gangaikondan,A. Karuppiah,DMK,56031,"32,963",58.83,"23,068",41.17
220,Tirunelveli,P. Padmanabhan,DMK,69699,"43,325",62.16,"26,374",37.84
221,Melapalayam,M. Kather Mohideen S.,IUML,62524,"35,470",56.73,"27,054",43.27
222,Srivaikuntam,S. P. Adithanar,DMK,67933,"37,329",54.95,"30,604",45.05
223,Thoothukkudi,Ramalingam R.,DMK,68498,"39,030",56.98,"29,468",43.02
224,Tiruchendur,Edmund,DMK,74662,"39,974",53.54,"34,688",46.46
225,Sattangulam,K. P. Kandasasmy,DMK,64791,"33,510",51.72,"31,281",48.28
226,Nanguneri,T. Ganapathy,DMK,61960,"33,099",53.42,"28,861",46.58
227,Radhapuram,V. Karthesan,DMK,65166,"33,678",51.68,"31,488",48.32
228,Kanniyakumari,K. Rajah Pillai,DMK,70223,"35,884",51.1,"34,339",48.9
229,Nagercoil,M. Moses,SWA,72210,"34,726",48.09,"37,484",51.91
230,Colachel,A. Pauliah,INC,68027,"37,401",54.98,"30,626",45.02
231,Padmanabhapuram,A. Swamidhas,INC,57834,"32,416",56.05,"25,418",43.95
232,Tiruvattar,James. J,INC,60505,"36,097",59.66,"24,408",40.34
233,Vilavancode,R. Ponnappan Nadar,INC,52013,"32,139",61.79,"19,874",38.21
234,Killiyoor,N. Dennis,INC,55539,"34,573",62.25,"20,966",37.75
